,Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
2728,MAE,MAE 1 ,"Bahadori, Mohammad Yousef",FA07,213,119,63.2,79.3,3.96,3.27,2.87
2729,MAE,MAE 1 ,"Linden, Paul F.",FA07,213,119,63.2,79.3,3.96,3.27,2.87
2730,MAE,MAE 1 ,"Nagy, Geza",FA07,213,119,63.2,79.3,3.96,3.27,2.87
2731,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",FA14,55,25,96.0,96.0,6.42,3.13,2.36
2732,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",S112,50,13,92.3,84.6,9.58,3.23,2.69
2733,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",S113,45,16,81.3,93.8,11.0,3.5,2.7
2734,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",S114,41,8,87.5,87.5,7.75,3.63,2.7
2735,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",S115,29,11,90.9,100.0,9.77,3.09,2.73
2736,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",S118,41,8,57.1,85.7,11.64,2.86,2.82
2737,MAE,MAE 101A ,"Bahadori, Mohammad Yousef",WI11,279,151,93.3,92.6,7.76,3.21,2.55
2738,MAE,MAE 101A ,"Behrou, Reza",S119,36,34,100.0,100.0,8.26,3.44,3.18
2739,MAE,MAE 101A ,"COENEN, WILFRIED",S116,35,9,88.9,100.0,7.39,3.11,3.19
2740,MAE,MAE 101A ,"COENEN, WILFRIED",S117,54,13,92.3,83.3,9.73,2.92,3.17
2741,MAE,MAE 101A ,"Del Alamo, Juan Carlos",WI19,40,17,81.3,68.8,8.62,2.76,3.0
2742,MAE,MAE 101A ,"Gibson, Carl H.",S111,67,30,76.7,23.3,7.23,3.54,3.04
2743,MAE,MAE 101A ,"Hendricks, Eric William",WI08,135,35,91.4,91.4,5.79,3.5,2.83
2744,MAE,MAE 101A ,"Krasheninnikov, Sergei",FA15,69,27,88.5,30.8,5.78,3.19,2.64
2745,MAE,MAE 101A ,"Krasheninnikov, Sergei",FA16,63,21,100.0,75.0,5.87,3.45,3.01
2746,MAE,MAE 101A ,"Krasheninnikov, Sergei",FA17,73,24,80.0,57.9,6.79,3.5,3.0
2747,MAE,MAE 101A ,"Lasheras, Juan C.",WI08,87,51,88.0,92.2,5.79,3.27,2.75
2748,MAE,MAE 101A ,"Lasheras, Juan C.",WI09,107,78,78.9,82.7,6.58,3.12,2.53
2749,MAE,MAE 101A ,"Linden, Paul F.",WI10,80,29,96.6,89.7,10.02,3.34,3.17
2750,MAE,MAE 101A ,"Marsden, Alison",WI09,123,61,91.8,77.0,6.93,3.08,2.88
2751,MAE,MAE 101A ,"Marsden, Alison",WI10,127,67,95.5,89.6,8.5,3.29,3.01
2752,MAE,MAE 101A ,"Miller, David R.",WI12,256,132,95.4,84.75,9.255,3.375,2.96
2753,MAE,MAE 101A ,"Miller, David R.",WI13,207,99,93.8,94.8,8.42,3.33,2.94
2754,MAE,MAE 101A ,"Miller, David R.",WI14,98,39,94.4,94.4,9.11,3.24,2.96
2755,MAE,MAE 101A ,"Miller, David R.",WI16,168,70,95.5,89.4,8.94,3.22,3.09
2756,MAE,MAE 101A ,"Miller, David R.",WI17,185,70,98.5,95.5,8.5,3.61,3.11
2757,MAE,MAE 101A ,"Nomura, Keiko K.",WI14,109,64,91.9,85.5,7.84,3.07,3.03
2758,MAE,MAE 101A ,"Nomura, Keiko K.",WI15,132,64,89.8,71.2,7.48,2.9,3.06
2759,MAE,MAE 101A ,"Nomura, Keiko K.",WI18,221,103,95.1,84.3,7.47,3.09,3.16
2760,MAE,MAE 101A ,"Nomura, Keiko K.",WI19,145,57,98.1,85.2,7.24,3.11,3.18
2761,MAE,MAE 101A ,"Rohr, James Joseph",WI08,135,35,91.4,91.4,5.79,3.5,2.83
2762,MAE,MAE 101A ,"Sarkar, Sutanu",FA18,88,31,83.3,58.6,7.47,3.0,3.04
2763,MAE,MAE 101A ,"Sarkar, Sutanu",WI08,117,80,86.1,91.1,6.32,3.26,2.95
2764,MAE,MAE 101B ,"Bahadori, Mohammad Yousef",S218,49,16,93.3,92.9,8.9,3.0,2.65
2765,MAE,MAE 101B ,"Bahadori, Mohammad Yousef",S219,40,10,90.0,90.0,8.9,3.0,2.96
2766,MAE,MAE 101B ,"Bahadori, Mohammad Yousef",WI16,60,21,100.0,95.2,6.6,3.5,2.66
2767,MAE,MAE 101B ,"Bar-Yoseph, Pinhas",SP08,66,45,90.2,69.0,6.18,3.15,3.12
2768,MAE,MAE 101B ,"Del Alamo, Juan Carlos",SP09,73,31,80.6,80.6,5.73,3.52,2.91
2769,MAE,MAE 101B ,"Lasheras, Juan C.",SP11,68,27,100.0,92.6,8.65,3.46,3.08
2770,MAE,MAE 101B ,"Lauga, Eric",SP10,133,65,93.8,92.1,8.19,3.35,3.24
2771,MAE,MAE 101B ,"Llewellyn Smith, Stefan G.",WI17,54,22,90.5,90.5,7.2,3.38,2.9
2772,MAE,MAE 101B ,"Miller, David R.",SP10,72,28,96.4,85.7,8.14,3.46,2.87
2773,MAE,MAE 101B ,"Miller, David R.",SP13,121,39,89.7,97.4,7.03,3.31,3.07
2774,MAE,MAE 101B ,"Miller, David R.",SP19,74,26,96.2,92.0,9.27,3.62,3.16
2775,MAE,MAE 101B ,"Miller, David R.",WI15,35,14,100.0,92.3,7.73,3.31,3.09
2776,MAE,MAE 101B ,"Miller, David R.",WI18,59,29,92.0,80.0,10.5,3.38,3.04
2777,MAE,MAE 101B ,"Miller, David R.",WI19,50,17,94.1,88.2,10.26,3.69,3.44
2778,MAE,MAE 101B ,"Nomura, Keiko K.",SP08,132,102,95.1,95.1,9.5,3.08,2.59
2779,MAE,MAE 101B ,"Nomura, Keiko K.",SP11,166,75,92.0,85.3,7.73,3.08,2.94
2780,MAE,MAE 101B ,"Nomura, Keiko K.",SP12,223,103,95.1,70.9,8.34,3.03,2.22
2781,MAE,MAE 101B ,"Nomura, Keiko K.",SP13,71,31,86.7,73.3,8.16,3.0,2.57
2782,MAE,MAE 101B ,"Nomura, Keiko K.",SP14,196,70,87.9,80.3,7.56,3.2,2.97
2783,MAE,MAE 101B ,"Nomura, Keiko K.",SP15,127,65,93.8,85.9,8.78,3.03,2.87
2784,MAE,MAE 101B ,"Nomura, Keiko K.",SP16,163,45,83.7,74.4,8.6,3.07,3.0
2785,MAE,MAE 101B ,"Nomura, Keiko K.",SP17,171,84,93.9,90.2,7.65,3.18,2.95
2786,MAE,MAE 101B ,"Nomura, Keiko K.",SP19,130,74,93.2,91.7,7.87,3.04,2.96
2787,MAE,MAE 101B ,"Rohr, James Joseph",S211,57,19,94.7,84.2,8.18,3.53,2.87
2788,MAE,MAE 101B ,"Rohr, James Joseph",S212,82,9,88.9,88.9,7.39,3.22,3.01
2789,MAE,MAE 101B ,"Rohr, James Joseph",S213,58,9,87.5,87.5,9.0,3.63,3.02
2790,MAE,MAE 101B ,"Rohr, James Joseph",S214,40,11,100.0,81.8,8.5,3.45,3.04
2791,MAE,MAE 101B ,"Rohr, James Joseph",S215,32,5,100.0,100.0,10.5,3.2,3.17
